# Hosts Start 
# No resolution for kamaihd.net kamaihd.net
23.50.36.90                    steamgames.com
52.217.141.121                 github-com.s3.amazonaws.com
16.15.178.170                  github-com.s3.amazonaws.com
16.15.207.59                   github-com.s3.amazonaws.com
151.101.161.194                github.global.ssl.fastly.net
185.199.108.133                desktop.githubusercontent.com
185.199.111.133                desktop.githubusercontent.com
185.199.110.133                desktop.githubusercontent.com
185.199.109.133                desktop.githubusercontent.com
54.231.170.249                 github-cloud.s3.amazonaws.com
54.231.230.121                 github-cloud.s3.amazonaws.com
16.15.204.188                  github-cloud.s3.amazonaws.com
16.182.71.169                  github-cloud.s3.amazonaws.com
54.231.163.73                  github-cloud.s3.amazonaws.com
3.5.29.40                      github-cloud.s3.amazonaws.com
52.217.33.220                  github-cloud.s3.amazonaws.com
54.231.135.121                 github-cloud.s3.amazonaws.com
185.199.110.133                avatars.githubusercontent.com
185.199.108.133                avatars.githubusercontent.com
185.199.111.133                avatars.githubusercontent.com
185.199.109.133                avatars.githubusercontent.com
2606:50c0:8003::154            avatars.githubusercontent.com
2606:50c0:8000::154            avatars.githubusercontent.com
2606:50c0:8001::154            avatars.githubusercontent.com
2606:50c0:8002::154            avatars.githubusercontent.com
185.199.111.133                favicons.githubusercontent.com
185.199.110.133                favicons.githubusercontent.com
185.199.108.133                favicons.githubusercontent.com
185.199.109.133                favicons.githubusercontent.com
185.199.109.133                avatars0.githubusercontent.com
185.199.111.133                avatars0.githubusercontent.com
185.199.108.133                avatars0.githubusercontent.com
185.199.110.133                avatars0.githubusercontent.com
185.199.109.133                avatars1.githubusercontent.com
185.199.111.133                avatars1.githubusercontent.com
185.199.108.133                avatars1.githubusercontent.com
185.199.110.133                avatars1.githubusercontent.com
185.199.110.133                avatars2.githubusercontent.com
185.199.109.133                avatars2.githubusercontent.com
185.199.111.133                avatars2.githubusercontent.com
185.199.108.133                avatars2.githubusercontent.com
185.199.108.133                avatars3.githubusercontent.com
185.199.109.133                avatars3.githubusercontent.com
185.199.111.133                avatars3.githubusercontent.com
185.199.110.133                avatars3.githubusercontent.com
185.199.108.133                avatars4.githubusercontent.com
185.199.110.133                avatars4.githubusercontent.com
185.199.111.133                avatars4.githubusercontent.com
185.199.109.133                avatars4.githubusercontent.com
185.199.111.133                avatars5.githubusercontent.com
185.199.109.133                avatars5.githubusercontent.com
185.199.110.133                avatars5.githubusercontent.com
185.199.108.133                avatars5.githubusercontent.com
185.199.108.133                avatars6.githubusercontent.com
185.199.109.133                avatars6.githubusercontent.com
185.199.111.133                avatars6.githubusercontent.com
185.199.110.133                avatars6.githubusercontent.com
185.199.109.133                avatars7.githubusercontent.com
185.199.110.133                avatars7.githubusercontent.com
185.199.111.133                avatars7.githubusercontent.com
185.199.108.133                avatars7.githubusercontent.com
185.199.111.133                avatars8.githubusercontent.com
185.199.110.133                avatars8.githubusercontent.com
185.199.109.133                avatars8.githubusercontent.com
185.199.108.133                avatars8.githubusercontent.com
185.199.108.153                customer-stories-feed.github.com
185.199.109.153                customer-stories-feed.github.com
185.199.110.153                customer-stories-feed.github.com
185.199.111.153                customer-stories-feed.github.com
2606:50c0:8001::153            customer-stories-feed.github.com
2606:50c0:8003::153            customer-stories-feed.github.com
2606:50c0:8002::153            customer-stories-feed.github.com
2606:50c0:8000::153            customer-stories-feed.github.com
185.199.110.133                user-images.githubusercontent.com
185.199.108.133                user-images.githubusercontent.com
185.199.111.133                user-images.githubusercontent.com
185.199.109.133                user-images.githubusercontent.com
2606:50c0:8000::154            user-images.githubusercontent.com
2606:50c0:8003::154            user-images.githubusercontent.com
2606:50c0:8002::154            user-images.githubusercontent.com
2606:50c0:8001::154            user-images.githubusercontent.com
185.199.111.133                repository-images.githubusercontent.com
185.199.110.133                repository-images.githubusercontent.com
185.199.109.133                repository-images.githubusercontent.com
185.199.108.133                repository-images.githubusercontent.com
185.199.109.133                marketplace-screenshots.githubusercontent.com
185.199.108.133                marketplace-screenshots.githubusercontent.com
185.199.111.133                marketplace-screenshots.githubusercontent.com
185.199.110.133                marketplace-screenshots.githubusercontent.com
52.217.205.65                  github-production-user-asset-6210df.s3.amazonaws.com
3.5.25.252                     github-production-user-asset-6210df.s3.amazonaws.com
54.231.232.25                  github-production-user-asset-6210df.s3.amazonaws.com
52.216.236.59                  github-production-user-asset-6210df.s3.amazonaws.com
16.182.106.41                  github-production-user-asset-6210df.s3.amazonaws.com
16.15.197.129                  github-production-user-asset-6210df.s3.amazonaws.com
54.231.132.81                  github-production-user-asset-6210df.s3.amazonaws.com
16.182.40.33                   github-production-user-asset-6210df.s3.amazonaws.com
54.231.132.81                  github-production-release-asset-2e65be.s3.amazonaws.com
52.216.236.59                  github-production-release-asset-2e65be.s3.amazonaws.com
54.231.232.25                  github-production-release-asset-2e65be.s3.amazonaws.com
16.15.197.129                  github-production-release-asset-2e65be.s3.amazonaws.com
16.182.106.41                  github-production-release-asset-2e65be.s3.amazonaws.com
16.182.40.33                   github-production-release-asset-2e65be.s3.amazonaws.com
3.5.25.252                     github-production-release-asset-2e65be.s3.amazonaws.com
52.217.205.65                  github-production-release-asset-2e65be.s3.amazonaws.com
52.217.233.57                  github-production-repository-file-5c1aeb.s3.amazonaws.com
16.15.200.151                  github-production-repository-file-5c1aeb.s3.amazonaws.com
16.15.204.157                  github-production-repository-file-5c1aeb.s3.amazonaws.com
16.182.68.225                  github-production-repository-file-5c1aeb.s3.amazonaws.com
16.15.196.203                  github-production-repository-file-5c1aeb.s3.amazonaws.com
52.217.71.84                   github-production-repository-file-5c1aeb.s3.amazonaws.com
52.217.91.156                  github-production-repository-file-5c1aeb.s3.amazonaws.com
3.5.29.253                     github-production-repository-file-5c1aeb.s3.amazonaws.com
104.19.230.21                  hcaptcha.com
104.19.229.21                  hcaptcha.com
98.90.239.124                  epicgames.com
98.85.115.110                  epicgames.com
3.221.86.12                    epicgames.com
104.19.229.21                  js.hcaptcha.com
104.19.230.21                  js.hcaptcha.com
104.19.229.21                  imgs.hcaptcha.com
104.19.230.21                  imgs.hcaptcha.com
104.18.2.64                    store.epicgames.com
104.18.3.64                    store.epicgames.com
162.247.243.30                 bam-cell.nr-data.net
::ffff:162.247.243.30          bam-cell.nr-data.net
3.167.152.109                  cdn.unrealengine.com
3.167.152.41                   cdn.unrealengine.com
3.167.152.72                   cdn.unrealengine.com
3.167.152.37                   cdn.unrealengine.com
162.247.243.39                 js-agent.newrelic.com
2602:816:5001::39              js-agent.newrelic.com
23.198.33.133                  cdn1.unrealengine.com
23.198.33.133                  cdn2.unrealengine.com
104.18.20.177                  docs.unrealengine.com
104.18.21.177                  docs.unrealengine.com
52.85.12.72                    download.epicgames.com
52.85.12.73                    download.epicgames.com
52.85.12.52                    download.epicgames.com
52.85.12.27                    download.epicgames.com
2600:9000:2885:6200:2:b65:62c0:93a1 download.epicgames.com
2600:9000:2885:dc00:2:b65:62c0:93a1 download.epicgames.com
2600:9000:2885:f000:2:b65:62c0:93a1 download.epicgames.com
2600:9000:2885:da00:2:b65:62c0:93a1 download.epicgames.com
2600:9000:2885:4000:2:b65:62c0:93a1 download.epicgames.com
2600:9000:2885:3e00:2:b65:62c0:93a1 download.epicgames.com
2600:9000:2885:3c00:2:b65:62c0:93a1 download.epicgames.com
2600:9000:2885:6600:2:b65:62c0:93a1 download.epicgames.com
52.203.70.210                  tracking.epicgames.com
18.211.118.8                   tracking.epicgames.com
44.194.91.172                  tracking.epicgames.com
104.19.229.21                  newassets.hcaptcha.com
104.19.230.21                  newassets.hcaptcha.com
3.170.152.23                   download2.epicgames.com
3.170.152.88                   download2.epicgames.com
3.170.152.127                  download2.epicgames.com
3.170.152.27                   download2.epicgames.com
2600:9000:2885:e600:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:2885:f000:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:2885:600:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:2885:dc00:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:2885:6800:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:2885:6c00:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:2885:4200:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:2885:1200:1b:740e:aa80:93a1 download2.epicgames.com
18.154.110.35                  download3.epicgames.com
18.154.110.120                 download3.epicgames.com
18.154.110.73                  download3.epicgames.com
18.154.110.67                  download3.epicgames.com
2600:9000:2506:2000:13:90d:7440:93a1 download3.epicgames.com
2600:9000:2506:4200:13:90d:7440:93a1 download3.epicgames.com
2600:9000:2506:800:13:90d:7440:93a1 download3.epicgames.com
2600:9000:2506:f600:13:90d:7440:93a1 download3.epicgames.com
2600:9000:2506:de00:13:90d:7440:93a1 download3.epicgames.com
2600:9000:2506:200:13:90d:7440:93a1 download3.epicgames.com
2600:9000:2506:9400:13:90d:7440:93a1 download3.epicgames.com
2600:9000:2506:ae00:13:90d:7440:93a1 download3.epicgames.com
18.154.110.31                  download4.epicgames.com
18.154.110.47                  download4.epicgames.com
18.154.110.103                 download4.epicgames.com
18.154.110.16                  download4.epicgames.com
2600:9000:2506:4200:0:573f:780:93a1 download4.epicgames.com
2600:9000:2506:bc00:0:573f:780:93a1 download4.epicgames.com
2600:9000:2506:b600:0:573f:780:93a1 download4.epicgames.com
2600:9000:2506:be00:0:573f:780:93a1 download4.epicgames.com
2600:9000:2506:7400:0:573f:780:93a1 download4.epicgames.com
2600:9000:2506:1600:0:573f:780:93a1 download4.epicgames.com
2600:9000:2506:5c00:0:573f:780:93a1 download4.epicgames.com
2600:9000:2506:9a00:0:573f:780:93a1 download4.epicgames.com
18.160.225.105                 media-cdn.epicgames.com
18.160.225.56                  media-cdn.epicgames.com
18.160.225.115                 media-cdn.epicgames.com
18.160.225.4                   media-cdn.epicgames.com
98.88.7.165                    perf.store.on.epicgames.com
52.4.13.159                    perf.store.on.epicgames.com
54.147.234.242                 perf.store.on.epicgames.com
40.84.82.2                     merchantpool1.epicgames.com
# No resolution for store-launcher.epicgames.com store-launcher.epicgames.com
198.217.251.250                songbird.cardinalcommerce.com
198.217.251.251                songbird.cardinalcommerce.com
2606:4700::c6d9:fbfa           songbird.cardinalcommerce.com
2606:4700::c6d9:fbfb           songbird.cardinalcommerce.com
23.64.255.81                   store-content.ak.epicgames.com
2600:1418:a000:3b7::3b63       store-content.ak.epicgames.com
2600:1418:a000:39d::3b63       store-content.ak.epicgames.com
104.18.15.62                   static-assets-prod.epicgames.com
104.18.14.62                   static-assets-prod.epicgames.com
104.18.15.62                   static-assets-prod.epicgames.com
104.18.14.62                   static-assets-prod.epicgames.com
184.25.113.154                 epicgames-download1.akamaized.net
184.25.113.187                 epicgames-download1.akamaized.net
2600:1407:7400:1f::172f:4845   epicgames-download1.akamaized.net
2600:1407:7400:1f::172f:484d   epicgames-download1.akamaized.net
23.194.174.21                  store-content-ipv4.ak.epicgames.com
# No resolution for talon-website-prod.ak.epicgames.com talon-website-prod.ak.epicgames.com
104.18.22.33                   talon-service-prod.ecosec.on.epicgames.com
104.18.23.33                   talon-service-prod.ecosec.on.epicgames.com
104.18.23.33                   talon-website-prod.ecosec.on.epicgames.com
104.18.22.33                   talon-website-prod.ecosec.on.epicgames.com
23.64.255.81                   store-site-backend-static.ak.epicgames.com
2600:1418:a000:3b7::3b63       store-site-backend-static.ak.epicgames.com
2600:1418:a000:39d::3b63       store-site-backend-static.ak.epicgames.com
3.217.181.154                  account-public-service-prod03.ol.epicgames.com
34.202.145.5                   account-public-service-prod03.ol.epicgames.com
44.205.42.58                   account-public-service-prod03.ol.epicgames.com
3.220.146.217                  account-public-service-prod03.ol.epicgames.com
3.224.125.160                  account-public-service-prod03.ol.epicgames.com
34.228.51.91                   account-public-service-prod03.ol.epicgames.com
52.54.9.46                     account-public-service-prod03.ol.epicgames.com
34.196.74.152                  account-public-service-prod03.ol.epicgames.com
3.168.51.9                     epic-social-social-modules-prod.ol.epicgames.com
3.168.51.18                    epic-social-social-modules-prod.ol.epicgames.com
3.168.51.82                    epic-social-social-modules-prod.ol.epicgames.com
3.168.51.60                    epic-social-social-modules-prod.ol.epicgames.com
107.23.139.31                  eulatracking-public-service-prod06.ol.epicgames.com
44.197.98.186                  eulatracking-public-service-prod06.ol.epicgames.com
54.157.86.60                   eulatracking-public-service-prod06.ol.epicgames.com
# No resolution for assets-hcaptcha-proxy-service-prod.ak.epicgames.com assets-hcaptcha-proxy-service-prod.ak.epicgames.com
43.159.0.230                   weighted-zh-eulatracking-public-service-prod06.ol.epicgames.com
# No resolution for #wns.windows.com #wns.windows.com
# No resolution for #docs.live.net #docs.live.net
# No resolution for #d.docs.live.net #d.docs.live.net
# No resolution for #contentsync.onenote.com #contentsync.onenote.com
# No resolution for #www.onenote.com #www.onenote.com
# No resolution for #contentstorage.osi.office.net #contentstorage.osi.office.net
# No resolution for #ocws.officeapps.live.com #ocws.officeapps.live.com
# No resolution for #roaming.officeapps.live.com #roaming.officeapps.live.com
# No resolution for #sharepoint.com #sharepoint.com
# No resolution for #odc.officeapps.live.com #odc.officeapps.live.com
# No resolution for #templateservice.office.com #templateservice.office.com
# No resolution for #login.live.com #login.live.com
# No resolution for #messaging.office.com #messaging.office.com
# No resolution for #ols.officeapps.live.com #ols.officeapps.live.com
# No resolution for #substrate.office.com #substrate.office.com
# No resolution for #storage.live.com #storage.live.com
# No resolution for #api.onedrive.com #api.onedrive.com
20.75.60.91                    arc.msn.com
# No resolution for #skydrive.wns.windows.com #skydrive.wns.windows.com
# No resolution for #onedrive.live.com #onedrive.live.com
# No resolution for #config.teams.microsoft.com #config.teams.microsoft.com
# No resolution for feedback.microsoft-hohm.com feedback.microsoft-hohm.com
204.79.197.200                 search.msn.com
13.107.21.200                  search.msn.com
# No resolution for a.ads1.msn.com a.ads1.msn.com
# No resolution for a.ads2.msn.com a.ads2.msn.com
# No resolution for a.rad.msn.com a.rad.msn.com
# No resolution for ac3.msn.com ac3.msn.com
204.79.197.203                 ads.msn.com
# No resolution for ads1.msn.com ads1.msn.com
# No resolution for b.ads1.msn.com b.ads1.msn.com
# No resolution for b.rad.msn.com b.rad.msn.com
13.107.246.38                  c.msn.com
13.107.213.38                  c.msn.com
2620:1ec:46::38                c.msn.com
2620:1ec:bdf::38               c.msn.com
# No resolution for corpext.msitadfs.glbdns2.microsoft.com corpext.msitadfs.glbdns2.microsoft.com
204.79.197.203                 flex.msn.com
13.107.213.38                  g.msn.com
13.107.246.38                  g.msn.com
2620:1ec:46::38                g.msn.com
2620:1ec:bdf::38               g.msn.com
# No resolution for h1.msn.com h1.msn.com
204.79.197.203                 live.rads.msn.com
204.79.197.203                 preview.msn.com
# No resolution for rad.msn.com rad.msn.com
# No resolution for schemas.microsoft.akadns.net schemas.microsoft.akadns.net
# No resolution for settings.data.glbdns2.microsoft.com settings.data.glbdns2.microsoft.com
207.68.166.254                 survey.watson.microsoft.com
135.233.45.220                 watson.microsoft.com
13.91.222.61                   ars.smartscreen.microsoft.com
# No resolution for az361816.vo.msecnd.net az361816.vo.msecnd.net
# No resolution for az512334.vo.msecnd.net az512334.vo.msecnd.net
23.210.149.200                 blob.weather.microsoft.com
34.160.176.124                 candycrushsoda.king.com
23.43.11.133                   cdn.content.prod.cms.msn.com
2600:1407:7400:1e8d::29a7      cdn.content.prod.cms.msn.com
2600:1407:7400:1e8a::29a7      cdn.content.prod.cms.msn.com
# No resolution for #cdn.onenote.net #cdn.onenote.net
23.11.197.163                  choice.microsoft.com
# No resolution for choice.microsoft.com.nsatc.net choice.microsoft.com.nsatc.net
20.59.87.225                   client.wns.windows.com
2603:1030:a07:a::401           client.wns.windows.com
4.151.235.213                  client-s.gateway.messenger.live.com
23.45.46.178                   clientconfig.passport.net
23.45.46.169                   clientconfig.passport.net
2620:1ec:bdf::38               clientconfig.passport.net
2620:1ec:46::38                clientconfig.passport.net
40.122.167.99                  device.auth.xboxlive.com
# No resolution for dmd.metaservices.microsoft.com dmd.metaservices.microsoft.com
131.107.255.255                dns.msftncsi.com
fd3e:4f5a:5b81::1              dns.msftncsi.com
# No resolution for feedback.microsoft-hohm.com feedback.microsoft-hohm.com
157.55.129.21                  feedback.search.microsoft.com
134.170.188.248                feedback.windows.com
23.215.15.216                  img-s-msn-com.akamaized.net
23.215.15.188                  img-s-msn-com.akamaized.net
23.215.15.194                  img-s-msn-com.akamaized.net
23.215.15.202                  img-s-msn-com.akamaized.net
23.215.15.191                  img-s-msn-com.akamaized.net
23.215.15.192                  img-s-msn-com.akamaized.net
23.215.15.189                  img-s-msn-com.akamaized.net
23.215.15.187                  img-s-msn-com.akamaized.net
23.215.15.190                  img-s-msn-com.akamaized.net
2600:1407:7400:3c::17d8:509    img-s-msn-com.akamaized.net
2600:1407:7400:3c::17d8:50a    img-s-msn-com.akamaized.net
20.3.0.251                     licensing.mp.microsoft.com
# No resolution for #officeclient.microsoft.com #officeclient.microsoft.com
23.220.206.40                  oneclient.sfx.ms
23.220.206.43                  oneclient.sfx.ms
23.220.206.59                  oneclient.sfx.ms
23.220.206.56                  oneclient.sfx.ms
23.220.206.52                  oneclient.sfx.ms
23.220.206.53                  oneclient.sfx.ms
23.220.206.54                  oneclient.sfx.ms
23.220.206.49                  oneclient.sfx.ms
23.220.206.45                  oneclient.sfx.ms
2600:1407:7400:16::17d7:fc3    oneclient.sfx.ms
2600:1407:7400:16::17d7:f98    oneclient.sfx.ms
2600:1407:7400:16::17d7:fba    oneclient.sfx.ms
2600:1407:7400:16::17d7:fb9    oneclient.sfx.ms
2600:1407:7400:16::17d7:fc2    oneclient.sfx.ms
# No resolution for pti.store.microsoft.com pti.store.microsoft.com
23.65.18.179                   query.prod.cms.rt.microsoft.com
2600:1418:a000:3ac::2b3e       query.prod.cms.rt.microsoft.com
2600:1418:a000:39d::2b3e       query.prod.cms.rt.microsoft.com
13.68.233.9                    register.cdpcs.microsoft.com
74.125.132.149                 s0.2mdn.net
74.125.132.148                 s0.2mdn.net
2607:f8b0:4001:c6e::95         s0.2mdn.net
2607:f8b0:4001:c6e::94         s0.2mdn.net
204.79.197.200                 search.msn.com
13.107.21.200                  search.msn.com
23.78.8.9                      settings-ssl.xboxlive.com
2600:1418:a000:3b3::57         settings-ssl.xboxlive.com
2600:1418:a000:382::57         settings-ssl.xboxlive.com
74.125.69.149                  static.2mdn.net
74.125.69.148                  static.2mdn.net
2607:f8b0:4001:c68::94         static.2mdn.net
2607:f8b0:4001:c68::95         static.2mdn.net
23.78.9.142                    store-images.s-microsoft.com
2600:1418:a000:38b::3114       store-images.s-microsoft.com
2600:1418:a000:39a::3114       store-images.s-microsoft.com
23.221.246.96                  storeedgefd.dsx.mp.microsoft.com
2600:1407:7400:1e81::4106      storeedgefd.dsx.mp.microsoft.com
2600:1407:7400:1e85::4106      storeedgefd.dsx.mp.microsoft.com
13.107.213.38                  support.microsoft.com
13.107.246.38                  support.microsoft.com
2620:1ec:bdf::38               support.microsoft.com
2620:1ec:46::38                support.microsoft.com
23.204.53.201                  tile-service.weather.microsoft.com
168.61.215.74                  time.windows.com
207.46.223.94                  tk2.plt.msn.com
4.150.155.223                  urs.smartscreen.microsoft.com
48.211.71.197                  wdcp.microsoft.com
172.178.160.17                 wdcpalt.microsoft.com
204.79.197.200                 win10-trt.msedge.net
13.107.21.200                  win10-trt.msedge.net
2620:1ec:c11::200              win10-trt.msedge.net
23.198.73.13                   wscont.apps.microsoft.com
23.215.15.169                  www.msftconnecttest.com
23.215.15.223                  www.msftconnecttest.com
184.25.59.69                   www.msftncsi.com
184.25.59.89                   www.msftncsi.com
13.107.21.200                  a-0001.a-msedge.net
204.79.197.200                 a-0001.a-msedge.net
131.253.33.200                 a-0001.dc-msedge.net
13.107.22.200                  a-0001.dc-msedge.net
204.79.197.201                 a-0002.a-msedge.net
204.79.197.203                 a-0003.a-msedge.net
204.79.197.206                 a-0004.a-msedge.net
204.79.197.204                 a-0005.a-msedge.net
204.79.197.208                 a-0006.a-msedge.net
204.79.197.209                 a-0007.a-msedge.net
204.79.197.210                 a-0008.a-msedge.net
204.79.197.211                 a-0009.a-msedge.net
204.79.197.212                 a-0010.a-msedge.net
2620:1ec:c11::212              a-0010.a-msedge.net
204.79.197.213                 a-0011.a-msedge.net
204.79.197.214                 a-0012.a-msedge.net
# No resolution for a.ads1.msn.com a.ads1.msn.com
# No resolution for a.ads2.msads.net a.ads2.msads.net
# No resolution for a.ads2.msn.com a.ads2.msn.com
# No resolution for ac3.msn.com ac3.msn.com
20.69.137.228                  activity.windows.com
204.79.197.203                 ads.msn.com
# No resolution for ads1.msads.net ads1.msads.net
# No resolution for ads1.msn.com ads1.msn.com
# No resolution for aidps.atdmt.com aidps.atdmt.com
# No resolution for aka-cdn-ns.adtech.de aka-cdn-ns.adtech.de
# No resolution for b.ads1.msn.com b.ads1.msn.com
# No resolution for b.ads2.msads.net b.ads2.msads.net
172.184.64.171                 bingads.microsoft.com
# No resolution for bn2b-cor001.api.p001.1drv.com bn2b-cor001.api.p001.1drv.com
# No resolution for bn2b-cor002.api.p001.1drv.com bn2b-cor002.api.p001.1drv.com
# No resolution for bn3p-cor001.api.p001.1drv.com bn3p-cor001.api.p001.1drv.com
# No resolution for bn2b-cor003.api.p001.1drv.com bn2b-cor003.api.p001.1drv.com
# No resolution for bn2b-cor004.api.p001.1drv.com bn2b-cor004.api.p001.1drv.com
# No resolution for bn2wns1.wns.windows.com bn2wns1.wns.windows.com
# No resolution for bn3sch020022328.wns.windows.com bn3sch020022328.wns.windows.com
# No resolution for bs.serving-sys.com bs.serving-sys.com
# No resolution for c.atdmt.com c.atdmt.com
13.107.246.38                  c.msn.com
13.107.213.38                  c.msn.com
2620:1ec:bdf::38               c.msn.com
2620:1ec:46::38                c.msn.com
13.107.12.50                   c-0001.dc-msedge.net
2620:1ec:5::50                 c-0001.dc-msedge.net
13.107.246.38                  cache.datamart.windows.com
13.107.213.38                  cache.datamart.windows.com
2620:1ec:bdf::38               cache.datamart.windows.com
2620:1ec:46::38                cache.datamart.windows.com
# No resolution for cds1204.lon.llnw.net cds1204.lon.llnw.net
# No resolution for cds1293.lon.llnw.net cds1293.lon.llnw.net
103.224.212.213                cds26.ams9.msecn.net
# No resolution for cds425.lcy.llnw.net cds425.lcy.llnw.net
# No resolution for cds459.lcy.llnw.net cds459.lcy.llnw.net
# No resolution for cds494.lcy.llnw.net cds494.lcy.llnw.net
13.107.213.38                  continuum.dds.microsoft.com
13.107.246.38                  continuum.dds.microsoft.com
2620:1ec:bdf::38               continuum.dds.microsoft.com
2620:1ec:46::38                continuum.dds.microsoft.com
# No resolution for corpext.msitadfs.glbdns2.microsoft.com corpext.msitadfs.glbdns2.microsoft.com
93.184.215.201                 cs1.wpc.v0cdn.net
2606:2800:11f:179a:1972:2405:35b:459 cs1.wpc.v0cdn.net
# No resolution for db3aqu.atdmt.com db3aqu.atdmt.com
# No resolution for db3wns2011111.wns.windows.com db3wns2011111.wns.windows.com
20.59.87.226                   db5.wns.windows.com
2603:1030:a07:a::402           db5.wns.windows.com
# No resolution for db5sch101100122.wns.windows.com db5sch101100122.wns.windows.com
# No resolution for db5sch101100127.wns.windows.com db5sch101100127.wns.windows.com
# No resolution for db5sch101100831.wns.windows.com db5sch101100831.wns.windows.com
